N,BestK,BestL,MemoryConsumption,TotalMemory
31,14,21,0.15476190476190477,4.7976190476190474
63,24,29,0.09698275862068965,6.109913793103448
73,22,63,0.08405483405483405,6.136002886002886
81,26,51,0.0773001508295626,6.26131221719457
101,37,45,0.06276276276276277,6.33903903903904
171,46,98,0.04281277728482697,7.320984915705412
251,61,143,0.03158317092743322,7.927375902785738
1001,200,266,0.011259398496240601,11.270657894736841
